PREMISES_TYPE,DIVISION,OCC_HOUR,OFFENCE
Outside,D14,4,Robbery With Weapon
Apartment,D12,14,Robbery - Purse Snatch
Outside,NSA,2,Robbery - Mugging
Outside,NSA,2,Robbery - Swarming
Commercial,D51,3,Robbery - Business
Outside,D33,20,Robbery - Purse Snatch
Outside,D42,19,Robbery - Swarming
Commercial,D41,12,Robbery - Mugging
Outside,NSA,21,Robbery - Other
Outside,D41,10,Robbery With Weapon
Commercial,D22,14,Robbery - Business
Commercial,D23,22,Robbery - Mugging
Commercial,D43,9,Robbery - Financial Institute
Commercial,NSA,9,Robbery - Financial Institute
Commercial,NSA,23,Robbery - Mugging
Apartment,D51,11,Robbery - Other
Commercial,NSA,23,Robbery - Armoured Car
Outside,D55,22,Robbery With Weapon
Commercial,D14,21,Robbery - Business
Outside,D31,0,Robbery - Swarming
Outside,D55,14,Robbery - Other
Transit,D51,0,Robbery - Other
Outside,D53,17,Robbery With Weapon
Outside,D53,17,Robbery - Swarming
Outside,D12,9,Robbery - Mugging
Commercial,D43,4,Robbery - Business
Commercial,D43,4,Robbery - Business
Outside,D53,3,Robbery With Weapon
Other,D31,1,Robbery - Mugging
Apartment,D43,5,Robbery With Weapon
Apartment,D41,8,Robbery - Other
Educational,D43,11,Robbery - Other
Other,D14,15,Robbery - Other
Apartment,D41,8,Robbery - Mugging
Apartment,D43,5,Robbery - Business
Outside,D31,18,Robbery With Weapon
Apartment,D51,19,Robbery - Mugging
Outside,D14,19,Robbery - Mugging
Outside,D51,22,Robbery - Mugging
Commercial,D31,17,Robbery - Mugging
Outside,D41,18,Robbery - Mugging
Apartment,D31,16,Robbery - Swarming
Outside,D43,18,Robbery - Mugging
Outside,D33,20,Robbery - Mugging
Outside,D23,19,Robbery With Weapon
Outside,D43,17,Robbery - Mugging
Commercial,D54,12,Robbery - Financial Institute
Commercial,D43,16,Robbery - Other
Outside,D41,16,Robbery - Mugging
Outside,D11,17,Robbery With Weapon
House,D31,18,Robbery With Weapon
Outside,D43,23,Robbery - Mugging
Commercial,D31,17,Robbery - Business
Commercial,D51,13,Robbery - Other
Apartment,D51,10,Robbery - Mugging
Apartment,D51,10,Robbery - Mugging
Apartment,D51,10,Robbery - Mugging
Commercial,D32,9,Robbery - Financial Institute
Outside,D43,14,Robbery - Swarming
Commercial,D42,21,Robbery - Business
Commercial,D42,21,Robbery - Business
Educational,D23,12,Robbery - Swarming
Educational,D23,12,Robbery - Swarming
Outside,D22,0,Robbery - Other
Educational,D23,12,Robbery - Swarming
Outside,D33,22,Robbery With Weapon
Outside,D32,21,Robbery - Mugging
Commercial,D42,21,Robbery - Business
Outside,D41,14,Robbery - Swarming
Outside,D42,2,Robbery - Vehicle Jacking
Outside,D42,2,Robbery - Vehicle Jacking
Educational,D31,13,Robbery - Swarming
Commercial,D31,16,Robbery - Mugging
Outside,D33,21,Robbery - Purse Snatch
Outside,D33,21,Robbery - Purse Snatch
Commercial,D43,21,Robbery - Business
Outside,D55,21,Robbery - Mugging
Apartment,D14,22,Robbery With Weapon
Commercial,D51,20,Robbery With Weapon
Outside,D55,21,Robbery - Mugging
Commercial,D43,17,Robbery - Other
Outside,D51,16,Robbery - Swarming
Outside,D22,14,Robbery With Weapon
Commercial,D51,20,Robbery - Business
Apartment,D31,0,Robbery With Weapon
Outside,D23,0,Robbery - Other
Commercial,D31,1,Robbery - Swarming
Outside,D53,23,Robbery - Other
Outside,D33,22,Robbery With Weapon
Outside,D13,0,Robbery - Other
Commercial,D51,14,Robbery - Financial Institute
Outside,D53,23,Robbery - Mugging
Outside,D51,22,Robbery - Mugging
Outside,D11,17,Robbery - Swarming
Other,D42,20,Robbery With Weapon
Outside,D51,16,Robbery - Mugging
Other,D42,20,Robbery With Weapon
Other,D42,20,Robbery With Weapon
Other,D42,20,Robbery With Weapon
Other,D42,20,Robbery With Weapon
Other,D42,20,Robbery With Weapon
Outside,D42,23,Robbery - Taxi
House,D42,22,Robbery - Home Invasion
House,D42,22,Robbery - Home Invasion
Outside,D14,11,Robbery - Mugging
Outside,D51,21,Robbery - Mugging
Outside,D13,21,Robbery With Weapon
Commercial,D41,16,Robbery - Financial Institute
Other,D43,14,Robbery - Mugging
Commercial,D31,11,Robbery - Mugging
Outside,D52,1,Robbery - Other
Outside,D41,17,Robbery - Mugging
Outside,D33,9,Robbery - Taxi
Outside,D14,12,Robbery - Mugging
Commercial,D51,18,Robbery - Business
Apartment,D51,9,Robbery - Mugging
Apartment,D32,17,Robbery - Home Invasion
Educational,D31,13,Robbery - Mugging
Apartment,D32,17,Robbery - Home Invasion
Apartment,D32,17,Robbery - Home Invasion
Outside,D41,21,Robbery - Mugging
Educational,D32,16,Robbery - Mugging
Outside,D33,20,Robbery - Purse Snatch
Outside,D33,21,Robbery - Purse Snatch
Educational,D12,12,Robbery - Other
Outside,D33,21,Robbery - Purse Snatch
Outside,D53,22,Robbery - Other
Commercial,D14,14,Robbery - Financial Institute
Outside,D53,0,Robbery - Mugging
Outside,D53,0,Robbery - Mugging
Outside,D32,19,Robbery - Purse Snatch
Educational,D51,17,Robbery - Other
Educational,D51,17,Robbery - Other
Commercial,D31,19,Robbery - Business
Outside,D52,10,Robbery - Mugging
Commercial,D14,13,Robbery - Financial Institute
Outside,D43,13,Robbery With Weapon
Outside,D42,16,Robbery - Mugging
Outside,D42,16,Robbery - Mugging
Outside,NSA,3,Robbery - Mugging
Outside,D12,21,Robbery - Mugging
Outside,D33,23,Robbery With Weapon
Outside,NSA,7,Robbery - Purse Snatch
Apartment,D31,12,Robbery - Other
Outside,D12,2,Robbery - Mugging
Outside,D23,14,Robbery With Weapon
Outside,NSA,7,Robbery - Purse Snatch
Apartment,D31,8,Robbery - Mugging
Outside,NSA,7,Robbery - Purse Snatch
Outside,NSA,7,Robbery - Purse Snatch
Outside,NSA,7,Robbery - Purse Snatch
Outside,D42,16,Robbery With Weapon
Outside,D42,16,Robbery With Weapon
Commercial,D11,17,Robbery - Financial Institute
Outside,D32,18,Robbery - Mugging
Outside,D12,20,Robbery - Mugging
Commercial,D13,19,Robbery - Business
Outside,D11,21,Robbery - Swarming
Outside,D11,21,Robbery - Swarming
Outside,D41,19,Robbery With Weapon
